Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,15,6,Some Random Commen with Id 0
1,0,2,11,3,Some Random Commen with Id 1
2,0,2,152,5,Some Random Commen with Id 2
3,1,4,43,2,Some Random Commen with Id 3
4,1,4,61,1,Some Random Commen with Id 4
5,1,4,195,9,Some Random Commen with Id 5
6,1,4,8,0,Some Random Commen with Id 6
7,1,4,178,5,Some Random Commen with Id 7
8,1,4,104,1,Some Random Commen with Id 8
9,1,4,148,4,Some Random Commen with Id 9
10,1,4,149,4,Some Random Commen with Id 10
11,1,4,110,5,Some Random Commen with Id 11
12,2,0,186,5,Some Random Commen with Id 12
13,2,0,28,0,Some Random Commen with Id 13
14,3,6,15,0,Some Random Commen with Id 14
15,3,6,175,5,Some Random Commen with Id 15
16,3,6,44,5,Some Random Commen with Id 16
17,3,6,93,3,Some Random Commen with Id 17
18,4,1,148,1,Some Random Commen with Id 18
19,4,1,12,0,Some Random Commen with Id 19
20,4,1,190,0,Some Random Commen with Id 20
21,4,1,20,8,Some Random Commen with Id 21
22,4,1,128,1,Some Random Commen with Id 22
23,4,1,196,7,Some Random Commen with Id 23
24,4,1,31,8,Some Random Commen with Id 24
25,4,1,180,0,Some Random Commen with Id 25
26,4,1,112,7,Some Random Commen with Id 26
27,5,5,139,4,Some Random Commen with Id 27
28,5,5,136,0,Some Random Commen with Id 28
29,5,5,157,5,Some Random Commen with Id 29
30,5,5,16,5,Some Random Commen with Id 30
31,5,5,89,6,Some Random Commen with Id 31
32,5,5,10,9,Some Random Commen with Id 32
33,5,5,123,7,Some Random Commen with Id 33
34,6,6,41,9,Some Random Commen with Id 34
35,6,6,47,4,Some Random Commen with Id 35
36,6,6,53,6,Some Random Commen with Id 36
37,6,6,154,7,Some Random Commen with Id 37
38,6,6,83,9,Some Random Commen with Id 38
39,6,6,148,9,Some Random Commen with Id 39
40,6,6,52,4,Some Random Commen with Id 40
41,6,6,82,5,Some Random Commen with Id 41
42,6,6,141,7,Some Random Commen with Id 42
43,7,5,103,5,Some Random Commen with Id 43
44,7,5,20,5,Some Random Commen with Id 44
45,7,5,179,3,Some Random Commen with Id 45
46,7,5,148,3,Some Random Commen with Id 46
47,7,5,90,4,Some Random Commen with Id 47
48,7,5,9,7,Some Random Commen with Id 48
49,7,5,110,7,Some Random Commen with Id 49
50,8,0,177,0,Some Random Commen with Id 50
51,8,0,90,9,Some Random Commen with Id 51
52,8,0,112,8,Some Random Commen with Id 52
53,8,0,117,9,Some Random Commen with Id 53
54,8,0,107,5,Some Random Commen with Id 54
55,8,0,177,2,Some Random Commen with Id 55
56,8,0,44,3,Some Random Commen with Id 56
57,8,0,67,0,Some Random Commen with Id 57
58,10,3,48,2,Some Random Commen with Id 58
59,11,5,174,2,Some Random Commen with Id 59
60,11,5,4,3,Some Random Commen with Id 60
61,11,5,195,4,Some Random Commen with Id 61
62,11,5,28,5,Some Random Commen with Id 62
63,12,4,87,1,Some Random Commen with Id 63
64,12,4,57,1,Some Random Commen with Id 64
65,13,6,40,0,Some Random Commen with Id 65
66,13,6,171,3,Some Random Commen with Id 66
67,13,6,60,8,Some Random Commen with Id 67
68,14,2,142,7,Some Random Commen with Id 68
69,14,2,69,6,Some Random Commen with Id 69
70,14,2,106,3,Some Random Commen with Id 70
71,14,2,180,5,Some Random Commen with Id 71
72,14,2,74,1,Some Random Commen with Id 72
73,14,2,27,7,Some Random Commen with Id 73
74,15,5,46,9,Some Random Commen with Id 74
75,15,5,49,5,Some Random Commen with Id 75
76,15,5,127,5,Some Random Commen with Id 76
77,15,5,18,6,Some Random Commen with Id 77
78,15,5,48,4,Some Random Commen with Id 78
79,15,5,33,5,Some Random Commen with Id 79
80,15,5,164,3,Some Random Commen with Id 80
81,15,5,153,8,Some Random Commen with Id 81
82,15,5,187,3,Some Random Commen with Id 82
83,16,9,113,1,Some Random Commen with Id 83
84,16,9,31,2,Some Random Commen with Id 84
85,16,9,121,6,Some Random Commen with Id 85
86,16,9,83,8,Some Random Commen with Id 86
87,16,9,3,5,Some Random Commen with Id 87
88,16,9,19,6,Some Random Commen with Id 88
89,16,9,55,2,Some Random Commen with Id 89
90,16,9,13,9,Some Random Commen with Id 90
91,16,9,60,8,Some Random Commen with Id 91
92,17,9,178,6,Some Random Commen with Id 92
93,17,9,120,6,Some Random Commen with Id 93
94,17,9,8,4,Some Random Commen with Id 94
95,17,9,103,9,Some Random Commen with Id 95
96,18,5,44,3,Some Random Commen with Id 96
97,19,4,145,1,Some Random Commen with Id 97
98,19,4,13,9,Some Random Commen with Id 98
99,19,4,133,1,Some Random Commen with Id 99
100,19,4,152,8,Some Random Commen with Id 100
101,19,4,141,9,Some Random Commen with Id 101
102,19,4,107,2,Some Random Commen with Id 102
103,20,3,195,2,Some Random Commen with Id 103
104,21,4,140,8,Some Random Commen with Id 104
105,21,4,97,9,Some Random Commen with Id 105
106,21,4,195,6,Some Random Commen with Id 106
107,21,4,59,7,Some Random Commen with Id 107
108,21,4,129,5,Some Random Commen with Id 108
109,21,4,4,1,Some Random Commen with Id 109
110,24,1,27,9,Some Random Commen with Id 110
111,24,1,13,8,Some Random Commen with Id 111
112,24,1,7,9,Some Random Commen with Id 112
113,27,9,6,8,Some Random Commen with Id 113
114,27,9,155,6,Some Random Commen with Id 114
115,27,9,153,5,Some Random Commen with Id 115
116,27,9,185,5,Some Random Commen with Id 116
117,27,9,192,2,Some Random Commen with Id 117
118,27,9,72,6,Some Random Commen with Id 118
119,27,9,120,7,Some Random Commen with Id 119
120,27,9,124,5,Some Random Commen with Id 120
121,27,9,26,4,Some Random Commen with Id 121
122,28,6,114,9,Some Random Commen with Id 122
123,28,6,8,6,Some Random Commen with Id 123
124,28,6,188,8,Some Random Commen with Id 124
125,28,6,174,3,Some Random Commen with Id 125
126,29,8,184,7,Some Random Commen with Id 126
127,29,8,24,9,Some Random Commen with Id 127
128,29,8,10,1,Some Random Commen with Id 128
129,29,8,28,6,Some Random Commen with Id 129
130,29,8,86,8,Some Random Commen with Id 130
131,29,8,185,4,Some Random Commen with Id 131
132,29,8,196,6,Some Random Commen with Id 132
133,29,8,12,4,Some Random Commen with Id 133
134,29,8,15,5,Some Random Commen with Id 134
135,30,5,38,9,Some Random Commen with Id 135
136,30,5,198,8,Some Random Commen with Id 136
137,30,5,12,5,Some Random Commen with Id 137
138,30,5,104,1,Some Random Commen with Id 138
139,30,5,149,6,Some Random Commen with Id 139
140,30,5,103,0,Some Random Commen with Id 140
141,30,5,181,6,Some Random Commen with Id 141
142,31,0,190,9,Some Random Commen with Id 142
143,31,0,190,6,Some Random Commen with Id 143
144,33,6,178,4,Some Random Commen with Id 144
145,34,9,115,1,Some Random Commen with Id 145
146,34,9,186,6,Some Random Commen with Id 146
147,34,9,92,7,Some Random Commen with Id 147
148,34,9,90,5,Some Random Commen with Id 148
149,34,9,12,9,Some Random Commen with Id 149
150,34,9,71,6,Some Random Commen with Id 150
151,34,9,55,5,Some Random Commen with Id 151
152,35,6,4,0,Some Random Commen with Id 152
153,36,8,154,5,Some Random Commen with Id 153
154,37,8,172,1,Some Random Commen with Id 154
155,37,8,37,6,Some Random Commen with Id 155
156,38,4,146,7,Some Random Commen with Id 156
157,38,4,146,7,Some Random Commen with Id 157
158,38,4,128,3,Some Random Commen with Id 158
159,38,4,132,6,Some Random Commen with Id 159
160,38,4,179,5,Some Random Commen with Id 160
161,38,4,86,2,Some Random Commen with Id 161
162,38,4,37,1,Some Random Commen with Id 162
163,38,4,56,6,Some Random Commen with Id 163
164,38,4,82,1,Some Random Commen with Id 164
165,39,8,166,9,Some Random Commen with Id 165
166,39,8,123,4,Some Random Commen with Id 166
167,39,8,197,9,Some Random Commen with Id 167
168,39,8,37,7,Some Random Commen with Id 168
169,39,8,70,8,Some Random Commen with Id 169
170,39,8,58,1,Some Random Commen with Id 170
171,39,8,149,4,Some Random Commen with Id 171
172,39,8,185,6,Some Random Commen with Id 172
173,39,8,52,1,Some Random Commen with Id 173
